app_id,company,sector,tier,role_family,channel,applied_date,status,status_date,followup_due
A001,Company G,tech,entry,ai_ml,other,2026-07-12,rejected,2026-07-16,
A002,Company H,other,entry,swe,other,2026-07-12,applied,,2026-07-22
A003,Company J,healthtech,unspecified,swe,other,2026-07-12,applied,,2026-07-22
A004,Company N,tech,unspecified,swe,other,2026-07-12,applied,,2026-07-22
A005,Company O,other,unspecified,swe,other,2026-07-12,applied,,2026-07-22
A006,Company AC,bank,unspecified,data,other,2026-07-12,applied,,2026-07-22
A007,Company AJ,big_tech,unspecified,ai_ml,other,2026-07-12,rejected,2026-07-17,
A008,Company AN,tech,stretch,ai_ml,other,2026-07-12,rejected,2026-07-13,
A009,Company I,consultancy,unspecified,ai_ml,other,2026-07-16,rejected,2026-07-17,
A010,Company K,tech,unspecified,ai_ml,other,2026-07-16,applied,,2026-07-26
A011,Company AG,fintech,unspecified,ai_ml,other,2026-07-16,rejected,2026-07-16,
A012,Company AP,fintech,unspecified,ai_ml,other,2026-07-16,applied,,2026-07-26
A013,Company B,consultancy,entry,support_it,workday,2026-07-17,rejected,2026-07-21,
A014,Company D,big_tech,unspecified,swe,other,2026-07-17,rejected,2026-07-19,
A015,Company F,bank,stretch,swe,company_portal,2026-07-17,applied,,2026-07-27
A016,Company L,recruiting_agency,unspecified,support_it,indeed,2026-07-17,applied,,2026-07-27
A017,Company AF,fintech,unspecified,support_it,indeed,2026-07-17,rejected,2026-07-20,
A018,Company AI,other,stretch,support_it,indeed,2026-07-17,applied,,2026-07-27
A019,Company C,fintech,unspecified,other,other,2026-07-18,applied,,2026-07-28
A020,Company D,big_tech,unspecified,swe,other,2026-07-18,rejected,2026-07-19,
A021,Company E,retail,unspecified,other,indeed,2026-07-18,unknown,2026-07-20,
A022,Company P,tech,unspecified,data,other,2026-07-18,applied,,2026-07-28
A023,Company S,bank,unspecified,ai_ml,company_portal,2026-07-18,applied,,2026-07-28
A024,Company U,edtech,entry,swe,other,2026-07-18,rejected,2026-07-20,
A025,Company V,recruiting_agency,unspecified,other,linkedin,2026-07-18,applied,,2026-07-28
A026,Company AD,fintech,entry,ai_ml,linkedin,2026-07-18,applied,,2026-07-28
A027,Company AE,edtech,entry,swe,linkedin,2026-07-18,applied,,2026-07-28
A028,Company AH,other,entry,swe,company_portal,2026-07-18,applied,,2026-07-28
A029,Company AM,big_tech,entry,swe,company_portal,2026-07-18,applied,,2026-07-28
A030,Company AS,retail,unspecified,other,linkedin,2026-07-18,applied,,2026-07-28
A031,Company A,healthtech,entry,other,workday,2026-07-19,applied,,2026-07-29
A032,Company R,tech,unspecified,other,linkedin,2026-07-19,applied,,2026-07-29
A033,Company AK,recruiting_agency,unspecified,other,linkedin,2026-07-19,applied,,2026-07-29
A034,Company Q,tech,entry,support_it,indeed,2026-07-21,applied,,2026-07-31
A035,Company AO,healthtech,stretch,ai_ml,other,2026-07-21,applied,,2026-07-31
A036,Company AQ,fintech,unspecified,other,company_portal,2026-07-21,applied,,2026-07-31
A037,Company M,recruiting_agency,unspecified,quant,linkedin,,applied,,2026-07-22
A038,Company T,tech,stretch,pm,other,,skipped,2026-07-09,
A039,Company W,other,unspecified,other,other,,rejected,2026-07-14,
A040,Company X,fintech,unspecified,ai_ml,workday,,rejected,2026-07-14,
A041,Company Y,fintech,unspecified,other,jooble,,closed,2026-07-09,
A042,Company Y,fintech,unspecified,swe,jooble,,closed,2026-07-09,
A043,Company Y,fintech,unspecified,other,jooble,,closed,2026-07-09,
A044,Company Z,university,unspecified,ai_ml,company_portal,,applied,,
A045,Company AA,big_tech,unspecified,other,company_portal,,rejected,,
A046,Company AB,consultancy,stretch,pm,other,,closed,2026-07-17,
A047,Company AH,other,entry,other,company_portal,,closed,2026-07-17,
A048,Company AL,fintech,unspecified,other,other,,rejected,2026-07-15,
A049,Company AR,tech,unspecified,pm,linkedin,,applied,,
A050,Company AT,tech,unspecified,other,workday,,rejected,2026-07-09,
