day,has_focus,has_projects,has_job_search,has_life,has_finance,has_suggestion,has_today,has_inbox,has_health,has_captures,inbox_count,inbox_unread,inbox_sensitive
2026-07-08,True,True,True,True,True,True,True,True,False,False,,,
2026-07-09,True,True,True,True,True,True,True,True,False,False,,,
2026-07-10,True,True,True,True,True,True,True,True,False,False,,,
2026-07-11,True,True,True,True,True,True,True,True,False,False,,,
2026-07-12,True,True,True,True,True,True,True,True,False,False,,,
2026-07-13,True,True,True,True,True,True,True,True,False,False,,,
2026-07-14,True,True,True,True,True,True,True,True,False,False,,,
2026-07-15,True,True,True,True,True,True,True,True,False,False,,,
2026-07-16,True,True,True,True,True,True,True,True,False,False,,,
2026-07-17,True,True,True,True,True,True,True,True,False,False,10,0,1
2026-07-18,True,True,True,True,True,True,True,True,False,False,22,0,0
2026-07-19,True,True,True,True,True,True,True,True,False,False,40,2,3
2026-07-20,True,True,True,True,True,True,True,True,True,True,31,0,2
2026-07-21,True,True,True,True,True,True,True,True,False,False,25,1,1
2026-07-22,True,True,True,True,True,True,True,True,False,True,23,3,0
2026-07-23,True,True,True,True,True,True,True,True,False,True,23,5,0
2026-07-24,True,True,True,True,True,True,True,True,True,True,17,0,0
