op_id,category,first_raised,times_raised,status,close_date
L001,finance,2026-07-08,2,done,
L002,other,2026-07-08,6,done,2026-07-14
L003,other,2026-07-08,2,snoozed,
L004,other,2026-07-08,3,snoozed,
L005,other,2026-07-09,1,done,
L006,content,2026-07-09,3,done,2026-07-10
L007,finance,2026-07-09,3,done,2026-07-10
L008,other,2026-07-09,1,done,
L009,other,2026-07-09,2,done,2026-07-10
L010,other,2026-07-10,1,done,
L011,content,2026-07-10,5,done,
L012,other,2026-07-10,0,open,
L013,other,2026-07-11,5,done,2026-07-15
L014,other,2026-07-11,2,done,
L015,project,2026-07-11,1,done,
L016,finance,2026-07-14,1,done,
L017,content,2026-07-14,1,done,
L018,other,2026-07-14,1,done,2026-07-14
L019,job_search,2026-07-14,2,done,2026-07-15
L020,content,2026-07-15,1,done,
L021,other,2026-07-15,3,done,2026-07-17
L022,project,2026-07-15,0,done,2026-07-20
L023,project,2026-07-16,3,done,2026-07-18
L024,other,2026-07-16,1,done,2026-07-16
L025,content,2026-07-16,1,done,2026-07-17
L026,content,2026-07-17,3,done,2026-07-20
L027,content,2026-07-17,0,done,
L028,other,2026-07-19,1,done,2026-07-19
L029,content,2026-07-19,1,done,2026-07-20
L030,content,2026-07-19,0,done,
L031,content,2026-07-19,4,open,
L032,other,2026-07-20,0,done,2026-07-20
L033,other,2026-07-20,0,done,2026-07-20
L034,content,2026-07-20,4,open,
L035,content,2026-07-20,4,open,
L036,other,2026-07-20,0,done,2026-07-20
L037,life,2026-07-20,3,done,2026-07-23
L038,life,2026-07-20,4,open,
L039,other,2026-07-21,4,open,
L040,other,2026-07-21,4,open,
L041,job_search,2026-07-21,4,open,
L042,job_search,2026-07-21,1,done,2026-07-21
L043,content,2026-07-21,3,open,
L044,other,2026-07-21,1,done,2026-07-21
L045,job_search,2026-07-21,4,open,
L046,job_search,2026-07-23,2,open,
L047,life,2026-07-23,1,open,
L048,project,2026-07-23,2,done,2026-07-24
L049,other,2026-07-23,3,open,
L050,content,2026-07-23,2,open,
L051,finance,2026-07-23,1,done,2026-07-24
L052,job_search,2026-07-23,1,done,
L053,other,2026-07-23,1,done,
L054,finance,2026-07-23,2,done,2026-07-24
L055,finance,2026-07-24,3,open,
L056,other,2026-07-24,1,open,
L057,content,2026-07-24,0,open,
L058,content,2026-07-24,0,open,
L059,other,2026-07-24,0,open,
