op_id,category,times_raised,days_open,n_done_without_close_date
L018,other,1,0,17
L024,other,1,0,17
L028,other,1,0,17
L032,other,0,0,17
L033,other,0,0,17
L036,other,0,0,17
L042,job_search,1,0,17
L044,other,1,0,17
L006,content,3,1,17
L007,finance,3,1,17
L009,other,2,1,17
L019,job_search,2,1,17
L025,content,1,1,17
L029,content,1,1,17
L048,project,2,1,17
L051,finance,1,1,17
L054,finance,2,1,17
L021,other,3,2,17
L023,project,3,2,17
L026,content,3,3,17
L037,life,3,3,17
L013,other,5,4,17
L022,project,0,5,17
L002,other,6,6,17
